molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,document_chembl_id,target_chembl_id,target_pref_name,target_organism,assay_type,activity_comment
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1070,COc1ccc2cc(CCC(C)=O)ccc2c1,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1072,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,Potency,,35481.3,nm,,CHEMBL1794573,CHEMBL1201862,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,inconclusive
CHEMBL107360,c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2,AC50,=,12000.0,nm,4.92,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1075,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,AC50,=,18999.8,nm,4.72,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1075733,CCC(C)C(CC)C(N)=O,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1076211,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1076347,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1076903,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1077,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1077638,CC(C)CN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@H]1CCNC1,IC50,=,4120.0,nm,5.38,CHEMBL1112305,CHEMBL1154203,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL1077647,CC(C)CN(C(=O)c1cc(Cl)ccc1Cl)[C@H]1CCNC1,IC50,=,19800.0,nm,4.70,CHEMBL1112305,CHEMBL1154203,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL1077896,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,AC50,>,30000.0,nm,,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1078073,CC(C)CN(C(=O)c1cccc(Cl)c1F)[C@H]1CCNC1,IC50,>,10000.0,nm,,CHEMBL1112305,CHEMBL1154203,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL1078074,CC(C)CN(C(=O)c1cccc(F)c1C(F)(F)F)[C@H]1CCNC1,IC50,>,10000.0,nm,,CHEMBL1112305,CHEMBL1154203,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL1078162,Cc1c(Cl)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,IC50,=,52400.0,nm,4.28,CHEMBL1112305,CHEMBL1154203,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL1078169,CC(C)CN(C(=O)c1ccccc1C(C)C)[C@H]1CCNC1,IC50,=,12900.0,nm,4.89,CHEMBL1112305,CHEMBL1154203,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL1078231,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,IC50,=,11900.0,nm,4.92,CHEMBL1114086,CHEMBL1154224,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL1078261,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,AC50,=,3200.0,nm,5.50,CHEMBL5291828,CHEMBL5291721,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,F,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")"
CHEMBL1078312,CCN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,IC50,>,20000.0,nm,,CHEMBL1112305,CHEMBL1154203,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
CHEMBL1078595,O=S(=O)(Nc1ccc2c(c1)CCN(Cc1cc[nH]n1)CC2)c1ccc(N2CCOCC2)nc1,IC50,>,15848.93,nm,,CHEMBL1109288,CHEMBL1154336,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,
