molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pIC50,pchembl_value,assay_chembl_id,document_chembl_id,target_chembl_id,target_pref_name,target_organism,assay_type,activity_comment
CHEMBL6039551,COc1cnc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,IC50,=,8200.0,nM,5.086186147616283,5.09,CHEMBL5735028,CHEMBL5727625,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,887685
CHEMBL6039551,COc1cnc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,IC50,=,8200.0,nM,5.086186147616283,5.09,CHEMBL5737036,CHEMBL5728574,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,1062248
CHEMBL6040464,OCCc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,IC50,=,14.5,nM,7.838631997765026,7.84,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,793036
CHEMBL6040464,OCCc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,IC50,=,14.5,nM,7.838631997765026,7.84,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796438
CHEMBL6043476,Fc1cc(C(F)(F)F)cnc1C(F)(F)CN1CCC(Nc2ncnc3[nH]ncc23)CC1,IC50,=,11500.0,nM,4.939302159646388,4.94,CHEMBL5731266,CHEMBL5725660,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,535374
CHEMBL6043476,Fc1cc(C(F)(F)F)cnc1C(F)(F)CN1CCC(Nc2ncnc3[nH]ncc23)CC1,IC50,=,12000.0,nM,4.920818753952375,4.92,CHEMBL5731265,CHEMBL5725660,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,535364
CHEMBL6044807,CC(C)c1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,IC50,=,11.0,nM,7.958607314841775,7.96,CHEMBL5733977,CHEMBL5727077,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,793032
CHEMBL6044807,CC(C)c1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,IC50,=,11.0,nM,7.958607314841775,7.96,CHEMBL5734036,CHEMBL5727110,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,796434
CHEMBL6048972,CNCC(Cc1ccccc1CO)c1ccc2ccccc2c1,IC50,=,12000.0,nM,4.920818753952375,4.92,CHEMBL5733769,CHEMBL5726960,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,776474
CHEMBL6048972,CNCC(Cc1ccccc1CO)c1ccc2ccccc2c1,IC50,=,15000.0,nM,4.823908740944319,4.82,CHEMBL5733769,CHEMBL5726960,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,B,776001
