molecule_chembl_id,canonical_smiles,median_pIC50,mean_pIC50,min_pIC50,max_pIC50,number_of_measurements,pIC50_std,pIC50_range,variability,unique_assays,unique_documents,min_IC50_nM,max_IC50_nM
CHEMBL5850426,COc1ncc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,5.060480747381382,5.060480747381382,5.060480747381382,5.060480747381382,3,0.0,0.0,Low,3,3,8700.0,8700.0
CHEMBL5850591,COC(=O)c1cn(CCN2CCC3(CC2)COC2c4cc(Cl)ccc4OC(C)(C)C2C3)cn1,6.3979400086720375,6.3979400086720375,6.3979400086720375,6.3979400086720375,1,0.0,0.0,Low,1,1,400.0,400.0
CHEMBL5850711,COc1cncc(OC[C@H]2CCNC2)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,4.987162775294828,4.987162775294828,4.987162775294828,4.987162775294828,1,0.0,0.0,Low,1,1,10300.0,10300.0
CHEMBL5851134,CCNC(=O)CO[C@H](c1ccccc1)[C@H](CNC)c1ccc2ccccc2c1,4.6020599913279625,4.6020599913279625,4.6020599913279625,4.6020599913279625,1,0.0,0.0,Low,1,1,25000.0,25000.0
CHEMBL5851137,Cn1nccc1Cn1cc(-c2ccc(Cl)c(OC(F)F)c2)cn1,6.8297382846050425,6.8297382846050425,6.8297382846050425,6.8297382846050425,1,0.0,0.0,Low,1,1,148.0,148.0
CHEMBL585163,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C)c(C)c2)cc1,4.801342913045578,4.801342913045578,4.801342913045578,4.801342913045578,1,0.0,0.0,Low,1,1,15800.0,15800.0
CHEMBL5852793,CNC[C@H](c1ccc(Cl)c(Cl)c1)[C@@H](O)c1cccc(N)c1,4.481486060122113,4.481486060122113,4.481486060122113,4.481486060122113,1,0.0,0.0,Low,1,1,33000.0,33000.0
CHEMBL5853493,Cc1nccn1Cc1cn(-c2cccc(S(C)(=O)=O)c2)nn1,6.211124884224583,6.211124884224583,6.211124884224583,6.211124884224583,2,0.0,0.0,Low,2,2,615.0,615.0
CHEMBL5854009,CNCC(Cc1ccc(C)s1)c1ccc2ccccc2c1,5.508638306165727,5.508638306165727,5.508638306165727,5.508638306165727,1,0.0,0.0,Low,1,1,3100.0,3100.0
CHEMBL585509,Fc1cc2c(cn1)C1(CCN(Cc3ccc(Nc4ccc(F)c(F)c4)cc3)CC1)OC2,7.638272163982407,7.638272163982407,7.638272163982407,7.638272163982407,1,0.0,0.0,Low,1,1,23.0,23.0
CHEMBL5855149,Cn1c(=O)cnc2ccc(OCCNC[C@@H]3CN(c4ccc5c(n4)NC(=O)CO5)C(=O)O3)nc21,4.42021640338319,4.42021640338319,4.42021640338319,4.42021640338319,1,0.0,0.0,Low,1,1,38000.0,38000.0
CHEMBL5855181,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)ccc(OCCNCCCF)c2F)N1CC(F)F,5.3872161432802645,5.387216143280265,5.3872161432802645,5.3872161432802645,3,0.0,0.0,Low,3,3,4100.0,4100.0
CHEMBL5855557,Cc1cc(Cn2cc(-c3ccc(F)c(C(F)F)c3)cn2)n(C)n1,6.490797477668897,6.490797477668897,6.490797477668897,6.490797477668897,1,0.0,0.0,Low,1,1,323.0,323.0
CHEMBL585664,CCO/N=C(/c1ccc(F)c(F)c1)c1ccc(CN2CCC3(CC2)OCc2cn(C)c(=O)cc23)cn1,5.435333935747911,5.435333935747911,5.435333935747911,5.435333935747911,1,0.0,0.0,Low,1,1,3670.0,3670.0
CHEMBL5857118,CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccncc4)ccc3N)nc2)CC1,4.42021640338319,4.42021640338319,4.42021640338319,4.42021640338319,2,0.0,0.0,Low,2,2,38000.0,38000.0
CHEMBL5857899,CN[C@@H]1CC[C@@H](Oc2cncc(OC)c2-c2cc(Nc3cnc(C#N)cn3)n[nH]2)C1,5.060480747381382,5.060480747381382,5.060480747381382,5.060480747381382,1,0.0,0.0,Low,1,1,8700.0,8700.0
CHEMBL5858070,NC(=O)N1CCC(c2c(-c3cccnc3)n(-c3ccc(Cl)cc3)c3cnccc23)CC1,5.259637310505756,5.259637310505756,5.259637310505756,5.259637310505756,1,0.0,0.0,Low,1,1,5500.0,5500.0
CHEMBL585856,CN(c1ccc(CN2CCC3(CC2)OCc2cc(F)ncc23)cc1)c1ccc(F)c(F)c1,7.602059991327962,7.602059991327962,7.602059991327962,7.602059991327962,1,0.0,0.0,Low,1,1,25.0,25.0
