molecule_chembl_id,number_of_measurements,mean_pIC50,median_pIC50,min_pIC50,max_pIC50,std_pIC50,mean_IC50_nM,min_IC50_nM,max_IC50_nM,unique_assays,unique_documents,unique_SMILES,pIC50_range,variability,multiple_assays,multiple_documents,multiple_SMILES
CHEMBL5083403,2,4.642065152999546,4.642065152999546,4.642065152999546,4.642065152999546,0.0,22800.0,22800.0,22800.0,2,2,1,0.0,Low,True,True,False
CHEMBL5085562,2,5.045757490560675,5.045757490560675,5.045757490560675,5.045757490560675,0.0,9000.0,9000.0,9000.0,2,1,1,0.0,Low,True,False,False
CHEMBL508712,2,5.698970004336019,5.698970004336019,5.698970004336019,5.698970004336019,0.0,2000.0,2000.0,2000.0,2,2,1,0.0,Low,True,True,False
CHEMBL512351,2,5.050609993355087,5.050609993355087,5.050609993355087,5.050609993355087,0.0,8900.0,8900.0,8900.0,2,2,1,0.0,Low,True,True,False
CHEMBL515004,2,5.552841968657781,5.552841968657781,5.552841968657781,5.552841968657781,0.0,2800.0,2800.0,2800.0,2,2,1,0.0,Low,True,True,False
CHEMBL518431,2,6.1487416512809245,6.1487416512809245,6.1487416512809245,6.1487416512809245,0.0,710.0,710.0,710.0,2,2,1,0.0,Low,True,True,False
CHEMBL519067,2,5.769551078621726,5.769551078621726,5.769551078621726,5.769551078621726,0.0,1700.0,1700.0,1700.0,2,2,1,0.0,Low,True,True,False
CHEMBL5197101,2,4.6777807052660805,4.6777807052660805,4.6777807052660805,4.6777807052660805,0.0,21000.0,21000.0,21000.0,2,2,1,0.0,Low,True,True,False
CHEMBL521851,2,4.1938200260161125,4.1938200260161125,4.1938200260161125,4.1938200260161125,0.0,64000.0,64000.0,64000.0,2,2,1,0.0,Low,True,True,False
CHEMBL5273140,2,6.200659450546418,6.200659450546418,6.200659450546418,6.200659450546418,0.0,630.0,630.0,630.0,2,2,1,0.0,Low,True,True,False
CHEMBL5282336,2,6.399996913372259,6.399996913372259,6.399996913372259,6.399996913372259,0.0,398.11,398.11,398.11,2,1,1,0.0,Low,True,False,False
CHEMBL5400665,2,6.045757490560675,6.045757490560675,6.045757490560675,6.045757490560675,0.0,900.0,900.0,900.0,2,2,1,0.0,Low,True,True,False
CHEMBL541435,2,6.0,6.0,6.0,6.0,0.0,1000.0,1000.0,1000.0,2,2,1,0.0,Low,True,True,False
CHEMBL5430344,2,5.534617148551582,5.534617148551582,5.534617148551582,5.534617148551582,0.0,2920.0,2920.0,2920.0,2,2,1,0.0,Low,True,True,False
CHEMBL549433,2,7.958607314841775,7.958607314841775,7.958607314841775,7.958607314841775,0.0,11.0,11.0,11.0,2,2,1,0.0,Low,True,True,False
CHEMBL549438,2,4.300000029139089,4.300000029139089,4.300000029139089,4.300000029139089,0.0,50118.72,50118.72,50118.72,2,2,1,0.0,Low,True,True,False
CHEMBL549639,2,5.200659450546418,5.200659450546418,5.200659450546418,5.200659450546418,0.0,6300.0,6300.0,6300.0,2,2,1,0.0,Low,True,True,False
CHEMBL550050,2,5.318758762624412,5.318758762624412,5.318758762624412,5.318758762624412,0.0,4800.0,4800.0,4800.0,2,2,1,0.0,Low,True,True,False
CHEMBL550393,2,7.602059991327962,7.602059991327962,7.602059991327962,7.602059991327962,0.0,25.0,25.0,25.0,2,2,1,0.0,Low,True,True,False
